id,name,display_order,is_active,created_at,updated_at
1,Java,1,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
2,Spring,2,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
3,JPA / Hibernate,3,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
4,데이터베이스,4,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
5,자료구조,5,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
6,알고리즘,6,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
7,운영체제,7,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
8,네트워크,8,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
9,웹,9,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
10,디자인 패턴,10,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
11,객체지향,11,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
12,아키텍처,12,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
13,DevOps / 인프라,13,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
14,Git,14,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
15,테스트,15,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
16,캐시 / 성능 최적화,16,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
17,React / 프론트엔드,17,t,2026-01-26 08:00:20.856+00,2026-01-26 08:00:20.856+00
